feature,score
stg2_amount_of_bill_left_std_t5,10
stg2_browser_data_median,10
stg1_amount_of_bill_left_max_min_t5_all,10
A_49,10
stg1_repay_sub_min_t5,10
stg5_pre_amount_of_bill_var_t5,10
bank4limit,10
stg3_examount_0_cnt,10
repay_sub_now_min,10
log_cnt_lt,10
stg2_browse_count_mean,10
stg5_amount_per_n_mean_t5,10
repay_sub_now_repay_sub_2_max,10
stg5_pre_repayment_std_t5,10
stg5_time_mean,10
amount_of_bill_left_amount_of_bill_left_0_min,10
stg5_credit_amount_max_min_t5_all,10
A_63,10
credit_amount_pre_amount_of_bill_1_max,10
stg5_repay_sub_max_min_t5,10
pre_amount_of_bill_repay_sub_2_min,10
stg8_repay_sub_std,10
amount_of_bill_left_repay_sub_now_0_min,10
Z_1912,10
bf2SB7CC,10
credit_amount_repay_sub_0_min,10
bf2SB10CC,10
Z_2115,10
A_342,10
stg2_examount0_max_min,10
stg3_time_mean,10
stg6_pre_repayment_mean,10
stg5_pre_amount_of_bill_std_t5,10
A_13,10
pre_amount_of_billstg_max_min_all,10
minlastRefundminRefundRate,10
repay_sub_now_amount_of_bill_left_1_min,10
stg5_amount_per_n_max_t5,10
stg2_pre_amount_of_bill_mean_t5,10
A_20,10
A_369,10
credit_amount_std,10
stg2_amount_of_bill_left_min_t5_all,10
stg2_examount0_std,10
stg4_amount_of_bill_left_mean_t5_all,10
A_30,10
增量SB10,10
pre_repayment_credit_amount_2_min,10
examount1time_max,10
stg1_repay_sub_mean_t5,10
consume_amount_pre_repayment_2_max,10
stg1_repay_sub_std_t5,10
mean_overdraft_this,10
stg4_pre_repayment_max_t5,10
repay_sub_now_credit_amount_1_min,9
stg5_time_min,9
A_207,9
stg10_pre_repayment_std,9
stg2_amount_per_n_max_t5_all,9
A_333,9
A_331,9
A_459,9
A_210,9
stg3_amount_of_bill_left_std_t5,9
stg1_examount1_var,9
stg4_examount_1_cnt,9
stg4_browse_count_max,9
browse_count_median_gt,9
examount1_max_gt,9
bf3SB10CC,9
A_84,9
A_87,9
stg2_amount_per_n_max_min_t5,9
varcreditlimitUseGapLast,9
credit_amount_pre_repayment_1_max,9
Z_32,9
skewnessLastRefundRate,9
repay_sub_now_pre_repayment_0_min,9
stg7_repay_sub_std,9
A_12,9
stg1_pre_amount_of_bill_max_min_t5_all,9
stg1_examount0_max,9
stg10_amount_of_bill_left_max,9
stg3_amount_of_bill_left_max_t5_all,9
amount_of_bill_left_repay_sub_1_min,9
examount0_max_gt,9
stg3_pre_repayment_max_t5_all,9
stg1_consume_amount_std_t5,9
bf1SB8CC,9
stg2_repay_sub_max_min_t5_all,9
A_79,9
stg4_amount_of_bill_left_min_t5_all,9
amount_of_bill_left_pre_repayment_0_max,9
stg6_time_min,9
consume_amount_mean_all,9
stg3_examount_a_mean,9
stg5_examount1_max_min,9
Z_1352,9
增量SB5,9
stg3_pre_repayment_max,9
Z_2020,9
pre_repayment_repay_sub_0_max,9
stg5_pre_repayment_min_t5,9
stg10_pre_repayment_min,9
stg4_pre_amount_of_bill_min,9
pre_repayment_median,9
A_14,9
examount0_median_all,9
bf7SB7CC,9
stg2_pre_amount_of_bill_var_t5,9
Z_4,9
stg1_repay_sub_max_t5,9
stg1_pre_amount_of_bill_min_t5,9
Z_2261,9
amount_of_bill_left_amount_of_bill_left_2_min,9
stg2_pre_repayment_max_min_t5_all,9
credit_amount_repay_sub_1_max,9
amount_of_bill_left_max_all,9
stg3_examount0_var,9
A_171,9
repay_sub_repay_sub_1_max,9
browse_count_max_min_lt,9
browser_data_max,9
stg10_credit_amount_mean,9
stg5_browser_data_max,9
stg5_pre_repayment_min,9
stg5_examount1_min,9
pre_repayment_pre_amount_of_bill_1_max,9
amount_of_bill_left_pre_amount_of_bill_1_max,9
stg4_repay_sub_mean_t5,9
A_162,9
Z_2086,9
stg3_credit_amount_std_t5,9
repay_sub_credit_amount_1_min,9
stg2_pre_repayment_var_t5,9
stg3_browse_count_var,9
stg4_pre_repayment_mean_t5,9
stg2_examount_a_min,9
A_153,9
A_334,8
amount_of_bill_left_max,8
pre_amount_of_bill_pre_repayment_2_max,8
pre_amount_of_bill_pre_amount_of_bill_2_max,8
stg4_pre_amount_of_bill_var_t5,8
pre_amount_of_bill_mean,8
stg2_pre_amount_of_bill_mean_t5_all,8
stg4_examount0_std,8
A_148,8
Z_1731,8
stg9_examount_a_max,8
amount_of_bill_left_pre_amount_of_bill_2_max,8
repay_sub_now_repay_sub_now_0_max,8
A_130,8
A_133,8
stg4_pre_repayment_max_min_t5,8
stg9_examount_a_cnt,8
A_465,8
stg5_browse_count_var,8
stg3_pre_amount_of_bill_min_t5_all,8
stg1_pre_repayment_max_t5_all,8
stg5_amount_of_bill_left_var_t5,8
A_85,8
stg1_amount_per_n_max_t5,8
bank16limit,8
stg4_consume_amount_mean_t5,8
stg9_examount_1_min,8
A_91,8
A_96,8
stg9_examount_a_mean,8
stg2_pre_amount_of_bill_max_min_t5_all,8
pre_amount_of_billstg_max_mean_all,8
bank3limit,8
stg5_credit_amount_std_t5,8
repay_sub_pre_repayment_2_min,8
A_108,8
A_103,8
A_107,8
amount_of_bill_left_amount_of_bill_left_2_max,8
A_254,8
stg1_repay_sub_min_t5_all,8
repay_sub_credit_amount_2_min,8
stg5_repay_sub_max_t5_all,8
stg8_credit_amount_mean,8
A_77,8
A_70,8
stg4_amount_of_bill_left_var_t5,8
stg4_browser_data_mean,8
pre_repayment_repay_sub_0_min,8
stg5_browse_count_mean,8
A_66,8
A_65,8
stg2_credit_amount_max_min_t5_all,8
repay_sub_mean_all,8
bf3SB6CC,8
stg1_pre_amount_of_bill_mean,8
stg8_credit_amount_min,8
stg1_examount_a_cnt,8
repay_sub_now_repay_sub_now_0_min,8
A_273,8
stg1_pre_amount_of_bill_max_t5,8
stg4_log_cnt,8
pre_amount_of_bill_pre_repayment_1_min,8
credit_amount_pre_amount_of_bill_2_min,8
A_267,8
stg4_examount1_std,8
min_amount_expend,8
stg2_time_min,8
consume_amount_pre_amount_of_bill_0_max,8
stg2_examount0_median,8
browseSubBehavior_6,8
amount_of_bill_left_mean_all,8
stg9_examount_0_mean,8
stg3_examount1_max_min,8
meancreditlimitUseGap,8
A_6,8
varcashLimRate,8
stg5_amount_of_bill_left_max_t5_all,8
A_195,8
A_194,8
pre_repayment_pre_repayment_2_max,8
repay_substg_max_max_min_all,8
examount_1_gt_max,8
pre_repayment_credit_amount_0_max,8
stg3_browse_count_mean,8
stg4_credit_amount_mean_t5,8
repay_sub_pre_amount_of_bill_0_min,8
amount_of_bill_left_pre_amount_of_bill_0_min,8
stg5_credit_amount_mean_t5,8
stg10_examount_a_min,8
repay_sub_amount_of_bill_left_0_max,8
stg3_time_max,8
Z_2318,8
stg10_amount_of_bill_left_min,8
amount_of_bill_left_amount_of_bill_left_0_max,8
A_179,8
A_313,8
mean_overdraft_now_adjust,8
A_164,8
examount0time_min,8
A_301,8
A_307,8
A_305,8
A_234,8
amount_of_bill_left_pre_repayment_0_min,8
stg3_amount_per_n_min_t5,8
stg4_amount_per_n_std_t5,8
stg3_pre_amount_of_bill_std_t5,8
A_337,7
A_335,7
amount_of_bill_left_repay_sub_2_min,7
stg10_consume_amount_max,7
A_209,7
mincashLimRate,7
examount0_max_min_lt,7
repay_sub_now_pre_amount_of_bill_0_max,7
Z_1510,7
A_146,7
A_149,7
pre_repayment_pre_amount_of_bill_0_max,7
A_214,7
stg1_credit_amount_std_t5,7
stg3_amount_of_bill_left_max_t5,7
A_134,7
pre_amount_of_bill_median,7
kurtosiscreditlimitUseGapLast,7
A_461,7
stg8_repay_sub_cnt,7
repay_sub_pre_amount_of_bill_0_max,7
varCreditlimitUseRate,7
stg5_pre_amount_of_bill_max_t5,7
A_86,7
stg4_pre_amount_of_bill_std_t5,7
stg2_log_cnt,7
stg1_examount1_min,7
stg4_examount1_max,7
stg1_amount_per_n_std_t5,7
Z_1897,7
Z_1523,7
A_243,7
mean_amount_BankStatement,7
stg1_browse_count_max,7
credit_amount_pre_repayment_2_min,7
stg3_examount_1_min,7
stg5_pre_amount_of_bill_max_min_t5,7
A_104,7
examount0_mean_all,7
bf2SB1WC,7
A_258,7
A_44,7
A_46,7
Z_892,7
Z_2012,7
Z_550,7
stg4_browse_count_var,7
stg5_examount_0_cnt,7
stg3_log_cnt,7
A_72,7
Z_1597,7
Z_76,7
examount0_cnt_lt,7
stg5_browse_count_median,7
stg5_consume_amount_mean_t5,7
stg1_repay_sub_now_min,7
stg5_time_max,7
stg2_amount_per_n_var_t5,7
A_285,7
A_76,7
stg4_pre_repayment_min,7
examount_0_lt_max,7
afterLoanCount4,7
afterLoanCount3,7
A_52,7
examount_1_lt_mean,7
stg3_amount_per_n_max_min_t5,7
增量SB8,7
stg2_browser_data_mean,7
贷前3SB7,7
贷前3SB4,7
pre_amount_of_billstg_max_max_min_all,7
stg1_examount1_max,7
stg4_amount_of_bill_left_min_t5,7
browseSubBehavior_4,7
stg3_pre_repayment_std,7
A_370,7
A_406,7
贷前2SB1,7
pre_repayment_amount_of_bill_left_1_max,7
Z_377,7
pre_repayment_repay_sub_1_min,7
A_29,7
account,7
varlastRefundGap,7
stg1_repay_sub_now_max,7
增量SB7,7
stg3_browser_data_max_min,7
A_139,7
stg3_repay_sub_min_t5_all,7
stg2_amount_per_n_max_min_t5_all,7
Z_1477,7
A_227,7
A_229,7
A_228,7
repay_sub_now_pre_repayment_0_max,7
stg4_time_mean,7
stg3_pre_repayment_max_t5,7
repay_sub_now_pre_amount_of_bill_1_min,7
stg4_pre_repayment_var_t5,7
