feature,score
去重后放款后信用卡额度var与放款后本期账单余额var差值与去重后放款前信用卡额度var与放款前本期账单余额var差值差值,140
放款后账单金额为零与放款前账单金额为零差值,140
145,140
140,139
放款后用户收入笔数,139
去重后放款前可用余额var,139
放款后预借现金额度mean,139
去重后放款前循环利息max,138
去重后放款前可用余额sum,138
去重后放款前消费笔数max,138
21,138
36,138
放款前可用余额var,137
279,137
去重后放款前可用余额mean,137
放款后循环利息max与放款前循环利息max差值,136
放款后预借现金额度median,135
去重后放款后上期账单金额max与去重后放款前上期账单金额max差值,135
62,135
放款前工资收入总计乘以差值,134
17,133
去重后放款后预借现金额度var,133
去重后放款后预借现金额度mean,133
放款前账单金额为负数,133
放款后还款金额为零,132
放款后预借现金额度sum与放款前预借现金额度sum差值,131
144,131
去重后放款前调整金额var,130
去重后放款后预借现金额度median与去重后放款前预借现金额度median差值,130
262,130
去重后放款前调整金额mean,130
去重后放款后预借现金额度sum与去重后放款前预借现金额度sum差值,129
去重后放款后上期账单金额sum与去重后放款前上期账单金额sum差值,128
放款后本期账单余额var与放款前本期账单余额var差值,128
去重后放款后本期账单最低还款额max与放款后循环利息max之和,128
放款前可用余额min与放款前预借现金额度min差值,127
去重后放款后本期账单最低还款额sum与放款后循环利息sum之和与去重后放款前本期账单最低还款额sum与放款前循环利息sum之和差值,127
去重后放款前上期账单金额count,127
225,127
老段子特征3,126
放款后预借现金额度max,125
276,125
24,124
去重后放款后上期账单金额max,124
放款后账单金额统计与放款前账单金额统计差值,124
放款前调整金额min,124
放款后信用卡额度min,124
放款后信用卡额度max与放款前信用卡额度max差值,123
放款后本期账单金额sum与放款前本期账单金额sum差值,123
去重后放款后循环利息mean与去重后放款前循环利息mean差值,123
放款后上期还款金额min与放款前上期还款金额min差值,123
8,122
135,122
264,122
169,121
放款后可用余额sum与放款后预借现金额度sum差值与放款前可用余额sum与放款前预借现金额度sum差值差值,121
243,121
263,120
47,119
放款后循环利息mean与放款前循环利息mean差值,119
277,118
放款后消费笔数sum与放款前消费笔数sum差值,118
放款后可用余额var与放款后预借现金额度var差值,117
232,116
去重后放款后可用余额mean与放款后预借现金额度mean差值,116
去重后放款后本期账单最低还款额sum与去重后放款前本期账单最低还款额sum差值,116
放款前工资收入笔数乘以差值,116
放款后可用余额median与放款后预借现金额度median差值与放款前可用余额median与放款前预借现金额度median差值差值,115
放款后信用卡额度sum与放款前信用卡额度sum差值,114
放款后预借现金额度median与放款前预借现金额度median差值,114
245,113
134,112
放款前预借现金额度min,112
23,112
去重后放款后可用余额var与放款后预借现金额度var差值,112
234,111
去重后放款后消费笔数sum与去重后放款前消费笔数sum差值,111
去重后放款前调整金额sum,111
12,110
53,110
去重后放款后循环利息var与去重后放款前循环利息var差值,109
放款后该用户账单金额汇总(去重)与放款前该用户账单金额汇总(去重)差值,108
去重后放款后本期账单金额sum与去重后放款前本期账单金额sum差值,108
放款后账单小于还款计数(去重)与放款前账单小于还款计数(去重)差值,107
去重后放款后本期账单余额sum与去重后放款前本期账单余额sum差值,107
放款后预借现金额度max与放款前预借现金额度max差值,106
7,105
68,104
221,103
放款后本期账单余额sum与放款前本期账单余额sum差值,103
去重后放款后信用卡额度max,103
放款后消费笔数sum,103
放款前用户非工资收入总计,102
放款后可用余额mean与放款后预借现金额度mean差值,101
去重后放款后预借现金额度median,101
去重后放款后信用卡额度sum与去重后放款前信用卡额度sum差值,100
147,98
放款后消费笔数max与放款前消费笔数max差值,98
231,98
171,97
用户放款后消费笔数(去重)与用户放款前消费笔数(去重)差值,96
去重后放款后消费笔数median,96
放款后循环利息var与放款前循环利息var差值,96
用户放款后消费笔数与用户放款前消费笔数差值,95
放款后信用卡额度min与放款前信用卡额度min差值,95
213,95
放款前消费笔数min,94
去重后放款后信用卡额度min与去重后放款前信用卡额度min差值,94
放款后用户收入支出总计差值,94
放款后上期还款金额sum,94
56,94
16,94
139,93
146,93
244,93
用户放款后消费笔数,92
去重后放款后信用卡额度min,92
178,90
153,90
放款后还款金额统计与放款前还款金额统计差值,89
61,88
69,88
放款后本期账单最低还款额sum与放款前本期账单最低还款额sum差值,88
162,87
放款后上期账单金额sum,87
放款后循环利息sum,87
放款后该用户账单还款金额汇总(去重)与放款前该用户账单还款金额汇总(去重)差值,86
去重后放款前可用余额min与放款前预借现金额度min差值,85
用户银行流水记录缺失统计_x,85
用户放款后消费笔数(去重),84
放款后账单等于还款计数(去重),84
177,83
173,83
放款后用户收入支出笔数差值,83
83,82
放款后循环利息var,81
放款后账单小于还款计数(去重),81
去重后放款前预借现金额度min,81
用户银行流水记录缺失统计,81
79,81
去重后放款前消费笔数min,80
用户放款后循环利息,80
87,80
放款后循环利息sum与放款前循环利息sum差值,79
237,79
52,79
放款后消费笔数median,78
放款后该用户账单金额最大值汇总(去重)与放款前该用户账单金额最大值汇总(去重)差值,78
去重后放款前循环利息median,78
233,78
去重后放款前调整金额min,78
放款后预借现金额度min,77
用户放款后循环利息与用户放款前循环利息差值,77
168,77
220,77
放款后账单大于还款计数(去重)与放款前账单大于还款计数(去重)差值,77
去重后放款后消费笔数sum,77
放款后本期账单最低还款额sum与放款后循环利息sum之和与放款前本期账单最低还款额sum与放款前循环利息sum之和差值,76
放款前用户工资收入笔数,76
180,76
去重后放款后循环利息sum与去重后放款前循环利息sum差值,76
放款后可用余额max与放款前可用余额max差值,75
放款后该用户账单还款金额最大值汇总(去重)与放款前该用户账单还款金额最大值汇总(去重)差值,75
164,75
用户放款后循环利息(去重)与用户放款前循环利息(去重)差值,75
4,74
157,74
81,74
35,74
放款前调整金额max,73
去重后放款后上期还款金额sum与去重后放款前上期还款金额sum差值,73
38,73
放款前上期还款金额count,71
去重后放款后可用余额median与放款后预借现金额度median差值与去重后放款前可用余额median与放款前预借现金额度median差值差值,71
215,70
161,70
放款前浏览子行为编号_9,70
